id,movie,year,genre,duration,country,director,humor,rhythm,effort,tension,vote,avg_vote
3776,Utvandrarna,1970,Drama,132,Sweden,Jan Troell,0,0,0,0,7,10
3785,Khartoum,1966,War,133,Great Britain,Basil Dearden,1,3,1,1,6,20
3804,King David,1985,Drama,114,Great Britain,Bruce Beresford,0,2,1,1,4,15
3816,Krull,1983,Fantasy,121,Great Britain,Peter Yates,1,3,0,1,6,35
3824,Laberinto de pasiones,1982,Comedy,100,Spain,Pedro Almodóvar,2,1,0,1,6,42
3846,Lady L.,1965,Comedy,115,Great Britain,Peter Ustinov,1,2,0,0,4,14
3871,¡Átame!,1989,Mélo,92,Spain,Pedro Almodóvar,1,3,1,2,7,156
3873,Legend,1985,Fantasy,94,Great Britain,Ridley Scott,2,3,1,2,5,117
3882,The Legend of the Seven Golden Vampires,1974,Horror,90,Great Britain,Roy Ward Baker,0,0,0,0,6,30
3887,Légitime Violence,1982,Drama,95,France,Serge Leroy,0,0,0,0,4,3
3888,Quai des Orfèvres,1947,Drama,105,France,Henri-Georges Clouzot,0,3,1,3,7,47
3929,Link,1986,Thriller,103,Great Britain,Richard Franklin,0,2,0,3,5,11
3935,The Inn of the Sixth Happiness,1958,Drama,160,Great Britain,Mark Robson,1,2,3,2,6,32
3953,Hibernatus,1969,Comedy,80,France,Edouard Molinaro,2,3,0,1,6,30
3973,Tenue de Soirée,1986,Comedy,84,France,Bertrand Blier,0,0,0,0,6,8
3991,Die Blutigen Geier von Alaska,1973,Adventure,100,Germany,Harald Reinl,0,2,0,1,4,4
3993,Battle of Britain,1969,War,104,Great Britain,Guy Hamilton,0,2,2,2,6,44
